subset,xpos,ypos
"UNSEEN CORRECT",0.8456561940352854,0.7931388177088695
"UNSEEN CORRECT",0.8265940179096121,0.6770106294394902
"UNSEEN CORRECT",0.820355046996726,0.7430392167122051
"UNSEEN CORRECT",0.8313762024006974,0.9193342628887191
"UNSEEN CORRECT",0.4571323030495312,0.1692817624296813
"UNSEEN CORRECT",0.29974152791941633,0.5023352323362097
"UNSEEN CORRECT",0.4150686097127189,0.46978278460627954
"UNSEEN CORRECT",0.24184540093738005,0.49384160106292346
"UNSEEN CORRECT",0.6730217675125786,0.516080323613538
"UNSEEN CORRECT",0.32915520214238014,0.3490635312733807
"UNSEEN CORRECT",0.3592050338222551,0.48487897302200694
"UNSEEN CORRECT",0.8675560550039885,0.830371498745313
"UNSEEN CORRECT",0.3015463301864766,0.39491424468731373
"UNSEEN CORRECT",0.6740771024432384,0.5182753941410846
"UNSEEN CORRECT",0.29922362495433974,0.3650417662987463
"UNSEEN CORRECT",0.6698374071111352,0.5290091788952752
"UNSEEN CORRECT",0.3817229558187515,0.47709569074183433
"UNSEEN CORRECT",0.8607979459306017,0.7451888043267694
"UNSEEN CORRECT",0.43050628795796864,0.4696324505481005
"UNSEEN CORRECT",0.4211669889225349,0.46634265924493484
"UNSEEN CORRECT",0.7706676124124161,0.7024405805159926
"UNSEEN CORRECT",0.8509219059774412,0.7863328855920637
"UNSEEN CORRECT",0.33767644657670104,0.3110455367435473
"UNSEEN CORRECT",0.31709440454754334,0.41016836742226703
"UNSEEN CORRECT",0.5256260494506446,0.5375516532898804
"UNSEEN CORRECT",0.32406126177616124,0.5347576187717492
"UNSEEN CORRECT",0.7565383635569355,0.7043333875688272
"UNSEEN CORRECT",0.4004204580190314,0.22725564286075478
"UNSEEN CORRECT",0.5296263414094564,0.4934482114812737
"UNSEEN CORRECT",0.8118090979648585,0.6896323837851895
"UNSEEN CORRECT",0.2737247537012193,0.45948670932182295
"UNSEEN CORRECT",0.6558564586773024,0.5663825135913979
"UNSEEN CORRECT",0.4306475210287279,0.4647811739347481
"UNSEEN CORRECT",0.490194026916572,0.16248417778368285
"UNSEEN CORRECT",0.32369678595613294,0.4855598754115873
"UNSEEN CORRECT",0.6717092032738864,0.5045154875665414
"UNSEEN CORRECT",0.42640412977080555,0.4641219498168463
"UNSEEN CORRECT",0.8199527483228615,0.8908555838530955
"UNSEEN CORRECT",0.37361323093694443,0.23132258722690036
"UNSEEN CORRECT",0.8578071199688473,0.7233648990527133
"UNSEEN CORRECT",0.5033361634110397,0.09641301604286012
"UNSEEN CORRECT",0.8219889530286659,0.8990902020968061
"UNSEEN CORRECT",0.29057508326338777,0.11652224628698882
"UNSEEN CORRECT",0.5028201549631671,0.48815478012209246
"UNSEEN CORRECT",0.41851357430998287,0.46725387697415677
"UNSEEN CORRECT",0.7724583772500077,0.6393889604308363
"UNSEEN CORRECT",0.7591794425489387,0.6304606901419569
"UNSEEN WRONG",0.3369553434597031,0.26187215514824985
"UNSEEN CORRECT",0.8599209893479578,0.7197955402379989
"UNSEEN CORRECT",0.35652550460096677,0.511325465574813
"UNSEEN CORRECT",0.8540616660414989,0.7297055409446082
"UNSEEN CORRECT",0.31532049702374265,0.5580823298022475
"UNSEEN CORRECT",0.3654464216548419,0.254567499835964
"UNSEEN CORRECT",0.2804824492264778,0.5136608574139249
"UNSEEN CORRECT",0.46390810445741326,0.16355224746871688
"UNSEEN CORRECT",0.35684577196914563,0.4826261446031981
"UNSEEN CORRECT",0.31576995171072153,0.38114397818717116
"UNSEEN CORRECT",0.8276065145446492,0.6712045018640418
"UNSEEN CORRECT",0.27641075830115347,0.5369606041809204
"UNSEEN CORRECT",0.8754907975180448,0.7625593560092779
"UNSEEN CORRECT",0.3616566611734485,0.25636053455232377
"UNSEEN CORRECT",0.3402359056438663,0.33079117539237035
"UNSEEN CORRECT",0.6616605039789475,0.5156232124242722
"UNSEEN CORRECT",0.3192128671488763,0.3829262235916613
"UNSEEN CORRECT",0.3089725050294333,0.3941862958909186
"UNSEEN CORRECT",0.3981307527129362,0.474582100878489
"UNSEEN CORRECT",0.7983747946790907,0.6751583365855904
"UNSEEN CORRECT",0.7541907013006087,0.6522875441525101
"UNSEEN CORRECT",0.32828335019056365,0.3543539573116627
"UNSEEN CORRECT",0.31792362409854197,0.5186842218214596
"UNSEEN WRONG",0.5303812400826506,0.11404153253205473
"UNSEEN CORRECT",0.26966511022370915,0.5356489449681523
"UNSEEN CORRECT",0.6486203143519282,0.568236606544489
"UNSEEN CORRECT",0.5124493273742261,0.532222032140944
"UNSEEN CORRECT",0.2965514259101737,0.42577366520714965
"UNSEEN CORRECT",0.4209546115354854,0.4885198826864596
"UNSEEN CORRECT",0.3557385469250174,0.48384666390032444
"UNSEEN CORRECT",0.663384843613711,0.5305445767796251
"UNSEEN CORRECT",0.30947133823012474,0.5207595958449888
"UNSEEN CORRECT",0.32585956630363283,0.3277397098380993
"UNSEEN WRONG",0.3125208928405166,0.3664737045243034
"UNSEEN CORRECT",0.8207234097344712,0.6858922580433549
"UNSEEN CORRECT",0.33301399590368147,0.262704263324978
"UNSEEN WRONG",0.46090327335015324,0.09022463094485084
"UNSEEN CORRECT",0.3734474293443405,0.25383981800009975
"UNSEEN CORRECT",0.8709907379975103,0.796959183502616
"UNSEEN CORRECT",0.314371902499042,0.37327725020995095
"UNSEEN CORRECT",0.30505812859713977,0.39438719410558387
"UNSEEN CORRECT",0.44733299676755933,0.0883719622948907
"UNSEEN CORRECT",0.292541044877402,0.548920149980572
"UNSEEN CORRECT",0.39533290074710853,0.23401994141762972
"UNSEEN CORRECT",0.8675210201993806,0.8235648057977711
"UNSEEN CORRECT",0.2431765250596205,0.514220186679234
"UNSEEN CORRECT",0.39528307568150645,0.48312973123510244
"UNSEEN CORRECT",0.7740283477282306,0.6540586277939819
"UNSEEN CORRECT",0.6593505811737895,0.5019487295503173
"UNSEEN CORRECT",0.2788446133968043,0.4182129528868389
"UNSEEN CORRECT",0.43731927380741853,0.47067074563026123
"UNSEEN CORRECT",0.35906575048803374,0.4849579951698709
"UNSEEN CORRECT",0.50439400729595,0.5057491269762975
"UNSEEN CORRECT",0.3311746216100463,0.5040783200082226
"UNSEEN CORRECT",0.11726840683271578,0.22881572267907374
"UNSEEN CORRECT",0.811437342406619,0.6657518255420164
"UNSEEN WRONG",0.426447920101621,0.19024016183953824
"UNSEEN CORRECT",0.33607779709157876,0.3056662793443913
"UNSEEN CORRECT",0.41831231273454933,0.4854669213702736
"UNSEEN CORRECT",0.31367342155273037,0.5030216143191426
"UNSEEN CORRECT",0.3395641484780577,0.3313054079227571
"UNSEEN CORRECT",0.3625012368723275,0.24401688061746712
"UNSEEN CORRECT",0.7694080478595279,0.7026146230332075
"UNSEEN CORRECT",0.3282298341681755,0.3559432073434704
"UNSEEN CORRECT",0.35190920241033746,0.26462210366724387
"UNSEEN CORRECT",0.4194329003319778,0.4870708716588923
"UNSEEN CORRECT",0.5195599711968593,0.15544570516199274
"UNSEEN CORRECT",0.211421836144432,0.16090918556842082
"UNSEEN CORRECT",0.28590446118717494,0.11659310284794622
"UNSEEN CORRECT",0.3168252385510298,0.4947995971090698
"UNSEEN CORRECT",0.43534637736994,0.17777087000436032
"UNSEEN CORRECT",0.8491290862181842,0.7281746467664157
"UNSEEN CORRECT",0.8616900062908951,0.7656704843828623
"UNSEEN CORRECT",0.4248044707785922,0.4781579501007425
"UNSEEN CORRECT",0.35358038731824526,0.48437491578509784
"UNSEEN CORRECT",0.8545586960168587,0.7357188206668737
"UNSEEN CORRECT",0.3291857036990048,0.38521747525172845
"UNSEEN CORRECT",0.5127169296054908,0.10278178698645607
"UNSEEN CORRECT",0.3578974247297936,0.4834873711907126
"UNSEEN CORRECT",0.8558929174438442,0.7330298727757839
"UNSEEN CORRECT",0.6373664628545942,0.5062514496971068
"UNSEEN CORRECT",0.7735802799046584,0.6530969790577323
"UNSEEN WRONG",0.47188858422532637,0.09053082913418947
"UNSEEN CORRECT",0.3384191644789991,0.28121494672999164
"UNSEEN CORRECT",0.34745008972957847,0.5174448631262821
"UNSEEN WRONG",0.12735193877237044,0.2205705217582566
"UNSEEN CORRECT",0.3250242699992233,0.29428012479762417
"UNSEEN CORRECT",0.5337156522623941,0.5007323045950791
"UNSEEN CORRECT",0.26339863843431816,0.5178000195254231
"UNSEEN CORRECT",0.5278437762056225,0.12976003768989947
"UNSEEN CORRECT",0.5277176709298923,0.5348742365077046
"UNSEEN CORRECT",0.2561120454232324,0.4430531726828559
"UNSEEN CORRECT",0.249854925259702,0.5314717498020045
"UNSEEN CORRECT",0.8141956709018459,0.6682201123865388
"UNSEEN CORRECT",0.42364941097144804,0.4875456052274657
"UNSEEN WRONG",0.4574118752743593,0.16235797872542274
"UNSEEN CORRECT",0.2814619010501187,0.5121988518900774
"UNSEEN CORRECT",0.29681284798340496,0.43227061149620416
"UNSEEN CORRECT",0.7522233387108177,0.7042911869366603
"UNSEEN CORRECT",0.8576388753235761,0.8981125027205645
"UNSEEN CORRECT",0.3346468735650495,0.26394396115831403
"UNSEEN CORRECT",0.5312213136664686,0.5011622970225715
"UNSEEN CORRECT",0.26916053080240987,0.438602643973399
"UNSEEN CORRECT",0.3635606759776007,0.5166795454677061
"UNSEEN CORRECT",0.871742857585694,0.7793410307257826
"UNSEEN CORRECT",0.4022421097520498,0.223749852755612
"UNSEEN CORRECT",0.5254927979405363,0.5500241091686493
